# ============================================================================
# Avature career sites, one `slug,host,section` triple per line.
#
# 73 OF THE 87 BELOW ARE NOW REGISTERED, in internal/services/avature.go. Read
# that file's [AvatureCareerSites] doc for the adapter's side of this; what
# follows is the measurement, and the record of what was left out and why.
#
# PROVENANCE. The 87 slugs come from the curated list at
# https://raw.githubusercontent.com/dtunkelang/job-search/main/slugs/avature_tenants.txt
# (downloaded 2026-07-28). The host and section on every line below are this
# project's own, re-measured on 2026-07-29, and 59 of them are NOT what that
# list or the 2026-07-28 revision of this file said.
#
# ---------------------------------------------------------------------------
# WHAT WAS MEASURED, 2026-07-29
# ---------------------------------------------------------------------------
#
# Every one of the 87 was walked to its last page:
#
#   87 sites, 3,352 HTTP requests, 27,747 distinct posting URLs
#   = 8.3 postings per request
#
# and the 73 registered are:
#
#   73 sites, 2,141 HTTP requests, 18,028 distinct posting URLs
#   = 8.4 postings per request
#
# The 2026-07-28 revision left four questions open. All four are answered.
#
# 1. POSTINGS PER REQUEST. The "N JobDetail links" counts recorded here on
#    2026-07-28 were inflated by up to 5x: every result row also carries
#    "mailto:?body=<the same URL>" share links and, on some skins, a
#    percent-encoded copy of the URL inside a social-share query string. Counted
#    by the row's own title link, page size is a per-tenant setting and was 2, 5,
#    6, 10, 12, 15, 18, 19, 20 or 25. The platform-wide figure is 8.3 per
#    request, which is in the range docs/research/ats-platform-survey.md
#    predicted (6-10) and makes this the second most expensive lane in the
#    registry after Paylocity.
#
# 2. PAGINATION TERMINATION. jobOffset is a true record offset: offset 3 on
#    ally.avature.net returns records 3-8. Past the end it does NOT error. It
#    answers HTTP 200 with a "No jobs found" page that still carries a Next link
#    pointing at jobOffset=6 -- measured at offsets 66, 72 and 600. Following it
#    would oscillate forever, so the adapter requires the next offset to
#    strictly increase and ends on a page with no postings.
#
#    Worse, and not previously known: THE PLATFORM STOPS PAGING AT 2,000
#    RECORDS. nva.avature.net answered offset 2000 with ten postings and offset
#    2010 with a 333 KB "Oops... Something went wrong" page, HTTP 200.
#    manpowergroupco.avature.net did the same at 2004, in Spanish. So a career
#    site with more than 2,000 openings cannot be read to the end at all, and a
#    naive walk reports the ~2,010 it reached as the employer's total with no
#    sign anything is missing. Four sites are already past it and none of the
#    four is registered.
#
# 3. THE CANONICAL POSTING URL. Every registered posting URL is
#    https://{host}{section}/JobDetail/{title-slug}/{id} on the site's own host,
#    query string dropped. The adapter rejects any link on another host, which
#    is how the redirects in point 4 were found.
#
# 4. THE "STATED TOTAL" recorded here on 2026-07-28 is now irrelevant and was
#    indeed untrustworthy: six sites stated exactly 999 and one of those,
#    dpdhlgroup, publishes at least 2,010. The walk counts postings instead.
#
# ---------------------------------------------------------------------------
# 59 OF 87 SITES ANSWER SOMEWHERE ELSE
# ---------------------------------------------------------------------------
#
# The single biggest correction. Requesting {tenant}.avature.net{section} still
# returns HTTP 200, but 59 of the 87 get there by a redirect, and the postings on
# the destination page are written with the destination's host:
#
#   26 redirect onto the employer's own hostname -- ea.avature.net -> jobs.ea.com,
#      justicejobs.avature.net -> jobs.justice.gov.uk, colorado.avature.net ->
#      jobs.colorado.edu, lululemoninc.avature.net -> careers.lululemon.com,
#      stjude.avature.net -> talent.stjude.org, and 21 more;
#   33 redirect onto a locale-prefixed section on the same host --
#      koch.avature.net/careers -> koch.avature.net/en_US/careers,
#      mercadona -> /es_ES/careers, lindner -> /de_DE/careers, bnc -> /fr_CA/careers.
#
# Each line below carries the destination, and the note says what the old value
# was. This also settles the pacing question: only 61 of the 87 hosts are under
# avature.net at all, so a `.avature.net` suffix arm in httpx.servicePolicyFor
# would miss 26 of them. avature.go registers the host list explicitly with
# httpx.RegisterSharedBackend instead.
#
# ---------------------------------------------------------------------------
# THE BOT WALL AND LOGIN WALL DID NOT APPEAR, FROM HERE
# ---------------------------------------------------------------------------
#
# docs/research/ats-platform-survey.md says an Avature adapter must drop
# bot-walled (HTTP 202, empty body) and login-walled (FolderDetail / "Mandatory
# Login") tenants. Neither was seen from this network on either date, and the
# adapter handles both anyway because "not seen from one network" is not
# "does not happen".
#
# What DID appear is a rate limit. Walked at three concurrent requests across
# the whole platform, four sites failed mid-walk -- koch with HTTP 406 after 335
# requests, and justicejobs, lululemoninc and radpartners with transport
# failures. All four completed cleanly at one request every 0.9s. That is one
# vendor backend refusing a burst, which is why every host here shares a limiter
# key.
#
# ---------------------------------------------------------------------------
# ONE THING STILL NOT MEASURED
# ---------------------------------------------------------------------------
#
# Whether the registered set overlaps employers this project already crawls, for
# names that are not identical strings. Two exact display-name collisions were
# found (skanska and stjude, both against jibe) and both are left unregistered
# pending a verdict in double_count_test.go. Several more are plausible on the
# employer rather than the slug -- deloitteus/deloittece/deloittebe/deloittecm
# against the three SuccessFactors Deloitte tenants and the SmartRecruiters
# DeloitteNetherlands, and dhlconsulting against oracle_orc -- and none of those
# has been compared board to board.
#
# Format: slug,host,section  # measured 2026-07-29. status
# ============================================================================
a2milkkf,a2milkkf.avature.net,/careers  # 9 postings in 3 requests, page size 6. REGISTERED in avature.go
advocateaurorahealth,clinicianjobs.advocatehealth.org,/careers  # 580 postings in 98 requests, page size 6; was advocateaurorahealth.avature.net/careers on 2026-07-28. REGISTERED in avature.go
aesc,jobs.aesc-group.com,/en_US/careers  # 46 postings in 9 requests, page size 6; was aesc.avature.net/careers on 2026-07-28. REGISTERED in avature.go
ally,ally.avature.net,/careers  # 65 postings in 12 requests, page size 6. REGISTERED in avature.go
amswh,amswh.avature.net,/careers  # 89 postings in 19 requests, page size 5. REGISTERED in avature.go
astellas,astellas.avature.net,/en_GB/careers  # 39 postings in 5 requests, page size 10; was astellas.avature.net/careers on 2026-07-28. REGISTERED in avature.go
astellasjapan,astellasjapan.avature.net,/en_GB/careers  # 56 postings in 7 requests, page size 10; was astellasjapan.avature.net/careers on 2026-07-28. REGISTERED in avature.go
auspost,jobs.auspost.com.au,/en_GB/careers  # 149 postings in 26 requests, page size 6; was auspost.avature.net/careers on 2026-07-28. REGISTERED in avature.go
baufest,baufest.avature.net,/jobs  # 31 postings in 3 requests, page size 20. REGISTERED in avature.go
berenberg,berenberg.avature.net,/en_GB/careers  # 35 postings in 5 requests, page size 10; was berenberg.avature.net/careers on 2026-07-28. REGISTERED in avature.go
bloomberg,bloomberg.avature.net,/careers  # 398 postings in 36 requests, page size 12. REGISTERED in avature.go
bmcrecruit,jobs.bmc.com,/careers  # 115 postings in 21 requests, page size 6; was bmcrecruit.avature.net/careers on 2026-07-28. REGISTERED in avature.go
bnc,emplois.bnc.ca,/fr_CA/careers  # 346 postings in 19 requests, page size 20; was bnc.avature.net/careers on 2026-07-28. REGISTERED in avature.go
bravura,bravura.avature.net,/en_US/careers  # 5 postings in 2 requests, page size 5; was bravura.avature.net/careers on 2026-07-28. REGISTERED in avature.go
broadinstitute,broadinstitute.avature.net,/en_US/careers  # 42 postings in 8 requests, page size 6; was broadinstitute.avature.net/careers on 2026-07-28. REGISTERED in avature.go
cdcn,cdcn.avature.net,/careers  # 190 postings in 9 requests, page size 25. REGISTERED in avature.go
cicor,cicor.avature.net,/en_US/careers  # 16 postings in 4 requests, page size 6; was cicor.avature.net/careers on 2026-07-28. REGISTERED in avature.go
ciusss,ciusss.avature.net,/fr_CA/careers  # 132 postings in 23 requests, page size 6; was ciusss.avature.net/careers on 2026-07-28. REGISTERED in avature.go
colorado,jobs.colorado.edu,/jobs  # 69 postings in 4 requests, page size 25; was colorado.avature.net/jobs on 2026-07-28. REGISTERED in avature.go
cyclecarriage,cyclecarriage.avature.net,/careers  # 37 postings in 4 requests, page size 15. REGISTERED in avature.go
deloittebe,deloittebe.avature.net,/en_US/careers  # 241 postings in 15 requests, page size 18. REGISTERED in avature.go
deloittece,apply.deloittece.com,/en_US/careers  # 540 postings in 55 requests, page size 10; was deloittece.avature.net/careers on 2026-07-28. REGISTERED in avature.go
deloittecm,deloittecm.avature.net,/en_US/careers  # 441 postings in 75 requests, page size 6. REGISTERED in avature.go
deloitteus,apply.deloitte.com,/en_US/careers  # 962 postings in 98 requests, page size 10; was deloitteus.avature.net/careers on 2026-07-28. REGISTERED in avature.go
dfiretailgroup,dfiretailgroup.avature.net,/en_US/careers  # 133 postings in 15 requests, page size 10; was dfiretailgroup.avature.net/careers on 2026-07-28. REGISTERED in avature.go
dhlconsulting,dhlconsulting.avature.net,/en_US/careers  # 6 postings in 2 requests, page size 6; was dhlconsulting.avature.net/careers on 2026-07-28. REGISTERED in avature.go
dpdhlgroup,dpdhlgroup.avature.net,/en_US/jobs  # 2010 postings in 202 requests, page size 10; was dpdhlgroup.avature.net/jobs on 2026-07-28. NOT REGISTERED: exceeds the 2,000-record paging window
dth,dth.avature.net,/en_US/careers  # 56 postings in 7 requests, page size 10; was dth.avature.net/careers on 2026-07-28. REGISTERED in avature.go
ea,jobs.ea.com,/en_US/careers  # 391 postings in 21 requests, page size 20; was ea.avature.net/careers on 2026-07-28. REGISTERED in avature.go
fb,careers.fbcareers.com,/careers  # 223 postings in 39 requests, page size 6; was fb.avature.net/careers on 2026-07-28. REGISTERED in avature.go
fmlogistic,fmlogistic.avature.net,/en_US/careers  # 2 postings in 2 requests, page size 2; was fmlogistic.avature.net/careers on 2026-07-28. REGISTERED in avature.go
fonterrakf,careers.fonterra.com,/careers  # 40 postings in 8 requests, page size 6; was fonterrakf.avature.net/careers on 2026-07-28. REGISTERED in avature.go
forvis,forvis.avature.net,/campuscareers  # 70 postings in 13 requests, page size 6. REGISTERED in avature.go
frequentis,jobs.frequentis.com,/careers  # 74 postings in 5 requests, page size 20; was frequentis.avature.net/careers on 2026-07-28. REGISTERED in avature.go
gpshospitality,gpshospitality.avature.net,/careers  # 1170 postings in 118 requests, page size 10. REGISTERED in avature.go
harmanglobal,jobsearch.harman.com,/en_US/careers  # 438 postings in 23 requests, page size 20; was harmanglobal.avature.net/careers on 2026-07-28. REGISTERED in avature.go
insperity,insperity.avature.net,/en_US/careers  # 124 postings in 22 requests, page size 6; was insperity.avature.net/careers on 2026-07-28. REGISTERED in avature.go
intercaretherapy,intercaretherapy.avature.net,/en_US/careers  # 189 postings in 33 requests, page size 6; was intercaretherapy.avature.net/careers on 2026-07-28. REGISTERED in avature.go
jackhenry,jackhenry.avature.net,/careers  # 54 postings in 10 requests, page size 6. REGISTERED in avature.go
jakala,careers.jakala.com,/en_US/careers  # 61 postings in 12 requests, page size 6; was jakala.avature.net/careers on 2026-07-28. REGISTERED in avature.go
jrg,jrg.avature.net,/en_US/careers  # 49 postings in 10 requests, page size 6; was jrg.avature.net/careers on 2026-07-28. REGISTERED in avature.go
justicejobs,jobs.justice.gov.uk,/careers  # 403 postings in 69 requests, page size 6; was justicejobs.avature.net/careers on 2026-07-28. REGISTERED in avature.go
koch,koch.avature.net,/en_US/careers  # 2004 postings in 335 requests, page size 6; was koch.avature.net/careers on 2026-07-28. NOT REGISTERED: exceeds the 2,000-record paging window
laplanduk,laplanduk.avature.net,/en_US/careers  # 81 postings in 15 requests, page size 6; was laplanduk.avature.net/careers on 2026-07-28. REGISTERED in avature.go
lindner,lindner.avature.net,/de_DE/careers  # 36 postings in 5 requests, page size 10; was lindner.avature.net/careers on 2026-07-28. REGISTERED in avature.go
lol,lol.avature.net,/careers  # 11 postings in 3 requests, page size 10. REGISTERED in avature.go
lululemoninc,careers.lululemon.com,/en_US/careers  # 1106 postings in 112 requests, page size 10; was lululemoninc.avature.net/careers on 2026-07-28. NOT REGISTERED: failed 2 of 3 attempts with HTTP/2 "stream error ... INTERNAL_ERROR; received from peer", once on its first request
manpowergroupco,manpowergroupco.avature.net,/es_CO/careers  # 2004 postings in 335 requests, page size 6; was manpowergroupco.avature.net/careers on 2026-07-28. NOT REGISTERED: exceeds the 2,000-record paging window
mantech,careers.mantech.com,/en_US/careers  # 727 postings in 123 requests, page size 6; was mantech.avature.net/careers on 2026-07-28. REGISTERED in avature.go
mclaren,mclarencareers.mclaren.com,/careers  # 85 postings in 6 requests, page size 19; was mclaren.avature.net/careers on 2026-07-28. REGISTERED in avature.go
mercadona,mercadona.avature.net,/es_ES/careers  # 392 postings in 67 requests, page size 6; was mercadona.avature.net/careers on 2026-07-28. REGISTERED in avature.go
mhcta,mhcta.avature.net,/careers  # 282 postings in 20 requests, page size 15. REGISTERED in avature.go
mt,careers.mt.com,/en_US/careers  # 487 postings in 50 requests, page size 10; was mt.avature.net/careers on 2026-07-28. REGISTERED in avature.go
nva,nva.avature.net,/careers  # 2010 postings in 202 requests, page size 10. NOT REGISTERED: exceeds the 2,000-record paging window
onecall,onecall.avature.net,/careers  # 19 postings in 5 requests, page size 6. REGISTERED in avature.go
pepsicoglobalpontoon,pepsicoglobalpontoon.avature.net,/careers  # 656 postings in 34 requests, page size 20. REGISTERED in avature.go
pomerleau,pomerleau.avature.net,/en_US/careers  # 231 postings in 40 requests, page size 6; was pomerleau.avature.net/careers on 2026-07-28. REGISTERED in avature.go
primero,primero.avature.net,/en_GB/careers  # 77 postings in 9 requests, page size 10; was primero.avature.net/careers on 2026-07-28. REGISTERED in avature.go
radpartners,radpartners.avature.net,/careers  # 652 postings in 110 requests, page size 6. REGISTERED in avature.go
regis,regis.avature.net,/en_US/careers  # 163 postings in 29 requests, page size 6; was regis.avature.net/careers on 2026-07-28. REGISTERED in avature.go
resourcebank,resourcebank.avature.net,/careers  # 24 postings in 4 requests, page size 20. REGISTERED in avature.go
