# ============================================================================
# PROBED 2026-07-28. 1,492 of these 1,948 slugs are now registered sources.
#
# Two independently published Breezy HR tenant lists, merged and then probed
# live at https://<slug>.breezy.hr/json under the shared limiter key
# internal/httpx gives *.breezy.hr, four requests in flight at a time:
#
#   1,071 from dtunkelang/job-search slugs/breezy_slugs.txt (rows below are
#         verbatim, including the curator's inline employer names and counts);
#     875 further slugs from kalil0321/ats-scrapers ats-companies/breezy.csv
#         that the first list does not carry, appended in the second block;
#       3 (jha-companies, nordcloudfinland, jobs) recovered from GitHub code
#         search; "jobs" is Breezy's own board at https://jobs.breezy.hr.
#
# Result, measured and not estimated:
#
#   ok     1,492   200 + a JSON array with >=1 position carrying name + https url
#   empty    403   200 + an empty array
#   dead      53   HTTP 302 to https://breezy.hr/
#
# The 1,492 "ok" slugs are registered in internal/services/breezy.go. They
# published 36,008 postings between them at probe time, about 24 per HTTP
# request, and the whole platform costs exactly 1,492 requests because the
# endpoint is unpaginated.
#
# The 403 empty boards are NOT registered. docs/adding-a-source.md is explicit
# that a company not hiring today is not a broken source, but an empty array is
# also not evidence that a board is live, and on this platform there is a
# stronger signal available (see below), so there is no reason to guess.
#
# Verification is unusually unambiguous here, which is worth recording because
# docs/adding-a-source.md warns that several platforms answer 200 with a landing
# page for unknown tenants. Breezy does not. A slug with no board answers
# HTTP 302 to https://breezy.hr/, and that marketing site answers 403 to this
# project's User-Agent, so a dead tenant cannot be mistaken for an empty one.
#
# Promotion rule, gated on content and not on status code: keep a slug whose
# https://<slug>.breezy.hr/json answers 200 with a JSON array holding at least
# one object that has a non-empty "name" and an "url" beginning "https://" —
# which is precisely the pair internal/services/breezy.go needs to emit a
# posting, so nothing is registered that the adapter would then drop.
#
# Two response-shape claims in docs/research/ats-platform-survey.md did not
# survive the probe, and both are recorded on the adapter rather than by editing
# the rows below: every one of the 1,895 boards that answered 200 used the flat
# array shape (the older {company, positions} object was not seen once), and
# "type" is an object {id, name} rather than a string on every position of every
# board captured. A third, "category", was not present on any position at all.
#
# The employer names and counts on the rows below are the upstream curators',
# dated as annotated. They are recorded as provenance, not endorsed, and the
# rows are left verbatim — the live results are recorded in this header rather
# than by editing them. Where they can be compared they undercount: "nexthire"
# is annotated ~2150 and answered with 2,343, and the largest board on the
# platform, "american-logistics-authority" at 2,760 postings, carries no
# annotation at all.
#
# dead (HTTP 302, none of them registered):
#   a-p-group-ltd academy acmecorp aninebing arangodb avail balanced bendy
#   bmi cadalys casa centrifuge ceribell checkr circles citpeak descope
#   destination-knot dfo dkm earth-hub fbs finlay gomining google granica
#   gruntwork guardio hex investin-education leverage manulife matin maxwell
#   mayar-capital mongoose podean promise que rds recrue rivo rome-tools-inc
#   saw scentbird spectrumhealth sullivan summit tensorops terra topo unmade
#   utn
# ============================================================================
# Breezy HR company subdomains to poll (one per line, # = comment).
# The subdomain is the path segment in a company's careers URL, e.g.
#   https://matroid.breezy.hr  -> matroid
# Polled by download/fetch_breezy.py via the public board JSON + per-position
# JSON-LD detail (the board JSON lacks descriptions; the JobPosting JSON-LD on
# each position page carries the full HTML body).
#
# Harvested via site-scoped web search of *.breezy.hr URLs, then VERIFIED live
# against /json (kept only count>0, 2026-06-02; ~97 active postings across these
# 9). Sorted by volume at probe time.
# To grow: harvest more slugs, re-run the probe, append the live ones.
vetsez
atp-flight-school
mind-computing
matroid
continued
revgen
dozuki
kiddiekredit
westlight-ai
# --- added 2026-06-09: bulk keyless tenant-discovery pass (live-verified) ---
nexthire  # Nexthire (~2150 active)
prep-academy-tutors  # Prep Academy Tutors (~209 active)
comprehensive-rehab-consultants  # Comprehensive Rehab Consultants (~205 active)
everlight-solar  # Everlight Solar (~142 active)
terrestris-global-solutions  # Terrestris Global Solutions (~100 active)
landmark-hospitality  # Landmark Hospitality (~91 active)
conservation-legacy  # Conservation Legacy (~68 active)
embraer  # Embraer (~67 active)
plat4mation  # Plat4mation (~67 active)
sourcefit  # Sourcefit (~67 active)
20four7va  # 20four7VA (~66 active)
urrly  # Urrly (~65 active)
barupon-llc  # BaRupOn LLC (~58 active)
ourassistants  # OurAssistants (~53 active)
amberlabs  # Amber Labs (~50 active)
talentc  # talentC (~50 active)
nexo  # Nexo (~49 active)
ehvert-engineering-inc  # Ehvert (~46 active)
matrix-technologies-inc  # Matrix Technologies (~45 active)
sunenergy1  # SunEnergy1 (~40 active)
erdman-anthony  # Erdman Anthony (~38 active)
sunpower  # SunPower (~37 active)
nucleusteq  # NucleusTeq (~36 active)
fastenal  # Fastenal Europe (~30 active)
independent-food-company  # Independent Food Company (~30 active)
zero-hash  # Zero Hash (~29 active)
float-health  # Float Health (~28 active)
morgan-murphy-media  # Morgan Murphy Media (~28 active)
oreganos  # Oregano's (~27 active)
gpfs  # GP Fund Solutions (~23 active)
cardiac-study-center  # Cardiac Study Center (~22 active)
kaniksu-community-health  # Kaniksu Community Health (~21 active)
nordcloud-career  # Nordcloud (~21 active)
joom-group  # Joom Group (~20 active)
dovelewis-veterinary-emergency-and-specialty-hospital  # DoveLewis (~19 active)
a2h  # A2H (~18 active)
aimpoint-digital  # Aimpoint Digital (~17 active)
telespazio-be  # Telespazio Belgium (~17 active)
census  # CENSUS SA (~16 active)
coherence-os-inc  # Coherence OS (~15 active)
contrarian-thinking  # Contrarian Thinking (~15 active)
p3-usa  # P3 USA (~15 active)
quantios  # Quantios (~15 active)
at-work-cincy  # AtWork Personnel (~14 active)
rubicon-group  # Rubicon Group (~14 active)
telus-health-care-centers  # TELUS Health (~13 active)
aligned-modern-health  # Aligned Modern Health (~12 active)
community-health-net  # Community Health Net (~12 active)
jarvis-ml  # Aidaptive (~12 active)
sentinel-blue  # Sentinel Blue (~12 active)
veev  # Veev (~12 active)
allcares  # All Cares (~11 active)
critical-software  # Critical Software (~11 active)
tactibit-technologies-llc  # Tactibit Technologies (~11 active)
blenderbox  # Blenderbox (~10 active)
eigroup  # eiGroup (~10 active)
urban-legend  # Urban Legend (~10 active)
jkz-llp  # JKZ LLP (~9 active)
marketview-education-technology  # MARKETview (~9 active)
transak-inc  # Transak (~9 active)
elevate-staffing  # Elevate Global (~7 active)
mood  # Mood (~7 active)
pharma-medica-research-inc  # Pharma Medica Research (~7 active)
planted-solar-inc  # Planted Solar (~7 active)
subscribe  # SUBSCRIBE (~7 active)
tuva  # Tuva (~7 active)
uniconcepts  # UniConcepts (~7 active)
awarri  # Awarri (~6 active)
m7-health  # M7 Health (~6 active)
sponsorunited  # SponsorUnited (~6 active)
alt-legal  # Alt Legal (~5 active)
apriorit  # Apriorit (~5 active)
bellesa  # Bellesa (~5 active)
bluetree-group  # Bluetree Group (~5 active)
corporate-traffic-logistics  # Corporate Traffic Logistics (~5 active)
davidson-logistics-inc  # Davidson Logistics (~5 active)
linear-agency  # Linear (~5 active)
monocle  # Monocle (~5 active)
revamp-engineering-inc  # Revamp Engineering (~5 active)
bettersource  # Bettersource (~4 active)
brella  # Brella (~4 active)
gamurs  # GAMURS Group (~4 active)
proper-expression  # ProperExpression (~4 active)
