# ============================================================================
# CANDIDATES, NOT SOURCES. Nothing in this file is crawled.
#
# These 1,037 Teamtailor career-site subdomains were recovered by a research
# pass in a container with no outbound access to job boards, so not one of them
# was probed by this project. docs/adding-a-source.md is explicit that a slug
# nobody has verified must not be registered, and at this project's fan-out a
# dead tenant is not free: it burns a request every crawl, reports as a failing
# source, and enough of them together trip the Source Health workflow's
# 35%-failure alarm, which is the signal that is supposed to mean a real
# platform broke.
#
# 34 slugs from this file's hand-curated head are registered in
# internal/services/teamtailor.go as TeamtailorCompanies. The rest are staged
# here until a CI job — the only place in this project with real network access
# — can probe them. The sections merged by "discovery/merge.py" carry "?" or an
# apply-URL guess where the employer name should be; none of those is
# registered, and they need more scrutiny than the rest, not less.
#
# Promotion rule, gated on content and not on status code: keep a slug whose
# https://<slug>.teamtailor.com/jobs.json answers 200 with a JSON object
# carrying an "items" array of length above zero. A career site that has been
# closed still answers on the apex host, so a status-code check would promote
# empty boards.
#
# The subdomain is used verbatim: it may carry a region label ("foothill.na") or
# an account-id suffix ("cameramatics-1639649453"), and both are part of the
# host.
#
# The verification claims and posting counts below are the upstream curator's,
# dated as annotated. They are recorded as provenance, not endorsed.
# ============================================================================
#
# Teamtailor career-site subdomains to poll (one per line, # = comment).
# The subdomain is the label in a company's career URL, e.g.
#   https://normative.teamtailor.com  -> normative
# It MAY carry a region label (foothill.na) or an account-id suffix
# (cameramatics-1639649453); use the full label verbatim -- it is the
# {label}.teamtailor.com host AND part of the posting id (apply-URL recovery).
# Polled by download/fetch_teamtailor.py via the public /jobs.json JSON Feed
# (no auth); the feed carries the full HTML description (no detail fetch needed).
#
# Harvested via site-scoped web search of *.teamtailor.com job URLs, then
# VERIFIED live against /jobs.json (kept only items>0, 2026-06-09).
andritzdigitalfactory
anyfin
cameramatics-1639649453
combine
foothill.na
funnel
instabee
iqm
mintos
mmd
normative
oneflow
remarkable
technicalequipmentsales
tibber
valsea
virtasant
# --- added 2026-06-09: bulk keyless tenant-discovery pass (live-verified) ---
mwm  # MWM (~7 active)
tmgchicago  # TMG Chicago (~35 active)
inforcer  # Inforcer (~23 active)
thestudio.na  # THE/STUDIO (~10 active)
sweep  # SWEEP (~10 active)
huawei  # Huawei Sweden (~7 active)
vismapublictechnologies  # Visma Public DK (~1 active)
ecoonline  # EcoOnline (~16 active)
bihr  # Bihr (~14 active)
nextlane  # Nextlane (~34 active)
coach4expats  # Coach4expats (~22 active)
bearingpointnetherlands  # BearingPoint Netherlands (~19 active)
winid  # Winid / Actual Talent (~83 active)
saasglobal  # SaaS (~4 active)
slaterconsult  # Slater Consult (~11 active)
ssiamrecruitment-1737448169  # Ssiam Recruitment (~28 active)
chapter2  # Chapter 2 (~46 active)
wspcentraleurope  # WSP Central Europe (~100 active)
talentiagroup  # Talentia Group (~9 active)
huaweiresearchcentergermanyaustria  # Huawei Research Center DE/AT (~95 active)
huaweidusseldorf-1719303222  # Huawei Europe Düsseldorf (~100 active)
pixiongames  # Pixion Games (~3 active)
cigames  # CI Games (~200 active)
agileretail  # Agile Retail (~14 active)
merlindigitalpartner-1613753675  # Merlin Digital Partner (~33 active)
ambea  # Ambea (~1 active)
unobravo  # Unobravo (~4 active)
bearingpoint  # BearingPoint (~14 active)
chalhoubgroup  # Chalhoub Group (~93 active)
hospitalclinic  # Hospital Clínic (~18 active)
footasylum  # Footasylum (~37 active)
centio  # Centio (~100 active)
ocaglobal  # OCA Global (~100 active)
huaweisweden  # Huawei Sweden (~23 active)
huaweifinland  # Huawei Finland (~2 active)
huaweinorway  # Huawei Norway (~2 active)
huaweidenmark  # Huawei Denmark (~2 active)
rootedtalentsolutions.na  # Rooted Talent Solutions (~31 active)
ingeteam  # Ingeteam (~70 active)
tcitransportation  # TCI Transportation (~28 active)
smartestenergy  # SmartestEnergy (~35 active)
unspun.na  # unspun (~4 active)
wagepoint  # Wagepoint (~3 active)
goodgamestudios  # Goodgame Studios (~4 active)
superawesome  # SuperAwesome (~12 active)
remoteworld  # Remote World (~5 active)
twinharbour  # Twin Harbour Interactive (~14 active)
maritimeandhealthcaregroup  # Maritime & Healthcare Group (~17 active)
medefer  # Medefer (~4 active)
dema  # Dema (~3 active)
tradingview  # TradingView (~47 active)
stillfrontgroup  # Stillfront (~46 active)
paysend  # Paysend (~7 active)
silenteight  # SilentEight (~9 active)
accessiway  # Accessiway (~6 active)
tamigo  # tamigo (~3 active)
kosmos  # Kosmos / Kings League (~9 active)
davidkennedyrecruitment  # David Kennedy Recruitment (~100 active)
bluestorm  # Bluestorm (~100 active)
newmoonproduction  # New Moon Production (~1 active)
viragames  # Vira Games (~3 active)
coldculture  # Cold Culture (~29 active)
leaseweb  # Leaseweb (~32 active)
felyx-1732008592  # felyx (~10 active)
luminorbank  # Luminor Group (~85 active)
tfbank  # TF Bank (~22 active)
clickstalentbv-1749060007  # Clicks Talent (~11 active)
adaptiveteams  # Adaptive Teams (~100 active)
connecttalentsolutionsjobs  # Connect Talent Solutions (~39 active)
italentplus  # iTalent PLUS (~42 active)
hlmarchitects  # HLM Architects (~16 active)
davidbakerarchitects  # David Baker Architects (~1 active)
keyrusgroup  # Keyrus Group (~100 active)
constructiontestingsolutions  # Construction Testing Solutions (~13 active)
hospitality2day-1697031971  # Hospitality2day (~13 active)
thehospitalityclub-1720688400  # The Hospitality Club (~12 active)
teamlewis  # TEAM LEWIS (~32 active)
smartmediaagency  # Smart Media Agency (~6 active)
liikennevirtaoy  # Virta (~1 active)
abceducation-1719511743.na  # ABC Education (~19 active)
recruitgo  # RecruitGo (~35 active)
revolutionbeauty  # Revolution Beauty (~4 active)
xxlnorge  # XXL Norge (~21 active)
thales  # Thales Norway (~25 active)
omexomno  # Omexom Oslo (~13 active)
werkstanorge  # Werksta Norge (~15 active)
stretchnorge  # Stretch Norge (~3 active)
triggeroslo  # Trigger Oslo (~2 active)
power  # Power Danmark (~62 active)
hudsonnordicdenmark  # Hudson Nordic Denmark (~13 active)
karnovgroupdenmark  # Karnov Group Denmark (~2 active)
envidandenmark  # Envidan Denmark (~6 active)
danskindustri  # Dansk Industri (~13 active)
ogilvyparis  # Ogilvy Paris (~11 active)
wspfrance  # WSP France (~41 active)
reseauparisformationsetcompetences  # Réseau Paris F&C (~10 active)
collegedeparis-1695624775  # Collège de Paris (~54 active)
huaweifinlandrnd  # Huawei Finland R&D (~17 active)
eckeroline  # Eckerö Line (~1 active)
rekryteringsgruppen  # Rekryteringsgruppen (~30 active)
gire  # Gire Sverige (~9 active)
peopleprovide  # PeopleProvide (~1 active)
tysksvenskahandelskammaren  # Tysk-Svenska Handelskammaren (~2 active)
riserank  # RiseRank (~6 active)
omexom  # Omexom Sweden (~11 active)
linck  # LiNCK (~7 active)
vismasoftwareinternationalas  # Visma Software International (~2 active)
palaceforlifefoundation  # Palace For Life Foundation (~5 active)

# --- NL/ES/IT discovery 2026-06-10 (live-probed, count>0 at probe time) ---
dfdscontinent  # DFDS Continent, NL, 30 active
puzzel  # Puzzel Netherlands, NL, 5 active
sinclair  # Sinclair, NL, 15 active
wspnetherlands  # WSP Nederland, NL, 44 active
girenl  # Gire Nederland, NL, 1 active
anicuranl  # AniCura Nederland, NL, 52 active
webmasterybv  # Webmastery, NL, 3 active
grupomas  # Grupo MAS, ES, 100 active
grupotysac  # Aeronautica Gestion / Grupo Tysac, ES, 38 active
grupoysondos  # Grupo Ysondos / yETT, ES, 80 active
empre  # Empresarios Agrupados (EAG), ES, 33 active
grupobinternational  # Grupo Binternational, ES, 6 active
savills-spain  # Savills Spain, ES, 53 active
imedhospitales  # IMED Hospitales, ES, 82 active
targetitalia  # TARGET ITALIA, IT, 34 active
wspitaly  # WSP Italy, IT, 10 active
letuelezioni  # LeTueLezioni, IT, 100 active
oggilavorosrl  # Oggi Lavoro Spa, IT, 9 active
aitho  # Aitho, IT, 5 active
gruppomontenegro  # Gruppo Montenegro, IT, 3 active
tsgitalia  # TSG Italia, IT, 28 active
issinternational  # ISS International SpA, IT, 48 active
konicaminoitalia  # Konica Minolta Italia, IT, 1 active
strategicmanagementpartners  # Strategic Management Partners, IT, 1 active
wakameitaly  # Wakame Italy (Eat Happy Group), IT, 6 active
hrspecialist  # HRSpecialist Italia, IT, 100 active

# --- 2026-06-12 NL/ES/IT expansion (live-probed >=1 active) ---
peperco  # Peper & Co, NL, ~12 active
svpholdingbv  # SVP (Stadsverwarming Purmerend), NL, ~4 active
thenewjob  # TheNewJob, NL, ~12 active
idealista  # idealista, ES, ~30 active
