# ============================================================================
# CANDIDATES, NOT SOURCES. Nothing in this file is crawled.
#
# These 119 Pinpoint tenant slugs were recovered by a research pass in a
# container with no outbound access to job boards, so not one of them was probed
# by this project. docs/adding-a-source.md is explicit that a slug nobody has
# verified must not be registered, and at this project's fan-out a dead tenant is
# not free: it burns a request every crawl, reports as a failing source, and
# enough of them together trip the Source Health workflow's 35%-failure alarm,
# which is the signal that is supposed to mean a real platform broke.
#
# 34 slugs are registered in internal/services/pinpoint.go as
# PinpointCompanies: 33 from this file's two hand-curated batches, plus
# "surrealdb", whose provenance is this repository's own docs/source-backlog.md
# rather than this file. The rest are staged here until a CI job — the only
# place in this project with real network access — can probe them. The section
# merged by "discovery/merge.py" carries "?" where the employer name should be;
# none of those is registered.
#
# Promotion rule, gated on content and not on status code: keep a slug whose
# https://<slug>.pinpointhq.com/postings.json answers 200 with a JSON object
# carrying a "data" array of length above zero, and whose postings carry a
# "title" and a "url" at the top level of each element rather than nested under
# an "attributes" object — that nesting would mean the feed had moved to a
# JSON:API envelope, which the adapter does not read.
#
# The verification claims and posting counts below are the upstream curator's,
# dated as annotated. They are recorded as provenance, not endorsed.
# ============================================================================
#
# Pinpoint (pinpointhq.com) tenant slugs -- one per line (# = comment, inline OK).
# Public keyless JSON: https://{slug}.pinpointhq.com/postings.json -> {"data":[...]}
# (full descriptions inline, single call, no detail march). Each is live-verified
# (HTTP 200 + non-empty data array) before adding. SMB/scale-up segment.
# Seed list verified 2026-06-25.
networkplus            # Network Plus (~25)
sunking                # Sun King (~20)
upway                  # Upway (~20)
infor                  # Infor (~20)
impulsespace           # Impulse Space (~19)
cfc                    # CFC (~18)
trilongroup            # Trilon Group (~18)
groupo                 # Group O (~17)
pinnbank               # Pinnacle Bank / Bank of Colorado (~16)
indrive                # inDrive (~16)
ymcaboston             # YMCA of Greater Boston (~16)
compasshealthnetwork   # Compass Health Network (~16)
penrosehealth          # Penrose Health (~16)
reconomy               # Reconomy (~15)
harnham                # Harnham (~15)
davies                 # Davies (~15)
princesscruises        # Princess Cruises (~15)
nccgroup               # NCC Group (~12)
goodenergy             # Good Energy (~11)
article                # Article (~10)
convexin               # Convex Insurance (~10)
nypl                   # The New York Public Library (~8)
weoneil                # W.E. O'Neil Construction (~8)
multiplier-careers     # Multiplier (~7)
nodalexchange          # Nodal Exchange (~6)
aria                   # ARIA (~6)
btny                   # Breakthrough New York (~5)
coforma                # Coforma (~5)
digitalscience         # Digital Science (~4)
scandiweb              # scandiweb (~4)
surgohealth            # Surgo Health (~4)
magic                  # Magic, Inc (~4)
oneplan                # OnePlan Solutions (~4)
safetywing             # SafetyWing (~2)
cfra                   # CFRA Research (~1)
jed                    # The Jed Foundation (~1)

# --- expansion batch verified 2026-06-25 (+36) ---
vgroup                 # V.Group (~409)
kempinski              # Kempinski Hotels (~263)
hollandamericagroup    # Holland America Group (~122)
reimaginedcareers      # Reimagined Parking (~99)
franklin-electric      # Franklin Electric (~86)
skims                  # SKIMS (~81)
