# Canonical-route sweep of every registered Jibe tenant, 2026-07-28.
#
# Jibe's search payload carries no link of its own: "apply_url" is another
# vendor's application URL on 39.6% of the platform (818 distinct hosts across
# 414,311 postings). The posting's own page is "https://<board host>/<landing>/
# jobs/<slug>", which costs no extra request because jibeHost already computes
# the host and slug is already decoded. docs/dedupe-audit.md verified that route
# on four tenants; this file is the sweep of all 247.
#
# Method: for each tenant, GET https://<host>/api/jobs?limit=100&page=<n>, sample
# postings (page 1 for every tenant, plus randomly chosen deeper pages for the
# larger samples), and GET the canonical route for each. A probe PASSES only when
# the response is 200 AND the rendered page carries that posting's own title.
# Status alone is not enough: three boards answer 200 with their careers home
# page for a slug they do not serve, which is the silent-failure shape this
# sweep exists to catch.
#
# Columns: key, board host, the board's live totalCount, probes, probes passed,
# and the route this adapter uses for the tenant. "fallback" means apply_url,
# and every one is listed in jibeApplyURLOnly with the reason.
#
# Totals: 247 tenants, 2,094 probes, 2,015 passed. 241 tenants on the canonical
# route covering 293,757 of 436,900 postings (67.2%); 6 on the fallback covering
# 143,143, of which fedex alone is 138,214.
#
# key	host	total_count	probes	passed	route
84lumber	84lumber.jibeapply.com	374	33	33	canonical
alaskaair	alaskaair.jibeapply.com	46	3	3	canonical
amedisys	amedisys.jibeapply.com	1200	3	3	canonical
ascension	ascension.jibeapply.com	3461	3	3	canonical
aus.jibeapply.com	aus.jibeapply.com	3915	3	3	canonical
bjc	bjc.jibeapply.com	1146	3	3	canonical
brightspring	brightspring.jibeapply.com	2911	3	3	canonical
careers.aarp.org	careers.aarp.org	55	3	3	canonical
careers.accentcare.com	careers.accentcare.com	1367	3	3	canonical
careers.adisseo.com	careers.adisseo.com	45	3	3	canonical
careers.akima.com	careers.akima.com	617	3	3	canonical
careers.amd.com	careers.amd.com	1052	3	3	canonical
careers.amica.ca	careers.amica.ca	99	3	3	canonical
careers.appliedmedical.com	careers.appliedmedical.com	217	3	3	canonical
careers.arcfield.com	careers.arcfield.com	163	33	33	canonical
careers.avalara.com	careers.avalara.com	135	43	42	fallback
careers.avispl.com	careers.avispl.com	212	88	80	fallback
careers.axa.com	careers.axa.com	1539	3	3	canonical
careers.beazley.com	careers.beazley.com	39	42	39	fallback
careers.bjsrestaurants.com	careers.bjsrestaurants.com	2040	3	3	canonical
